Crimes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bicycles,"39,350","35,218","29,535","27,931","26,474","26,605","25,231","23,244","21,041","20,074","22,680","25,980","26,445","30,093","35,159","34,747","33,095","36,554","31,739","28,996","27,336","24,494","24,217","21,309","21,521","18,824"
From Building,"105,464","101,963","104,243","109,345","106,359","101,445","99,960","93,578","89,171","85,268","81,371","75,884","75,313","76,803","80,634","77,017","80,294","77,023","72,225","69,892","69,324","66,657","48,003","40,476","44,439","44,682"
Coin Operated Machine,"5,429","5,757","5,255","5,629","3,636","3,455","3,342","3,306","2,519","2,394","2,153","1,803","1,634","1,414","1,450","1,599","1,230","1,307","1,468","1,406","1,037","1,055",794,682,633,629
Other,"133,596","120,898","128,376","130,778","128,573","131,705","134,097","129,821","132,665","136,044","135,610","119,102","121,908","132,182","144,414","144,622","123,472","136,775","136,305","133,962","131,761","130,873","120,252","123,354","132,982","125,742"
Value,,,,,,,,,,,,,,,,,,,,,,,,,,
Over $400,"186,841","169,249","175,013","195,037","208,367","211,634","215,532","215,772","218,466","223,350","226,125","202,639","203,833","216,030","232,014","228,035","215,820","238,456","235,543","261,346","270,124","281,436","236,050",null,null,null
Over $200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"343,124","381,829","358,692"
$200 through $400,"117,021","106,668","102,424","106,602","110,107","113,392","114,873","109,155","105,213","102,009","102,947","99,226","96,180","91,666","95,880","90,476","85,033","91,947","86,853","86,436","84,523","82,438","67,818",null,null,null
$50 through $199,"154,796","140,138","138,102","144,146","143,798","146,475","145,082","133,188","123,996","118,991","118,202","116,038","115,484","113,113","118,159","112,284","110,108","120,590","112,408","108,836","105,185","100,697","80,539","67,676","69,168","74,187"
Under $50,"265,075","245,588","236,025","243,706","250,147","256,026","251,127","230,705","219,194","210,131","203,379","195,711","184,860","176,493","188,594","190,412","181,375","204,858","201,738","185,186","161,456","158,298","143,341","130,568","126,736","127,534"
Arson,"14,314","14,454","14,406","15,060","14,007","13,677","12,660","12,272","12,687","11,400","10,674","9,233","7,864","7,164","7,519","7,446","7,135","7,380","7,766","8,650","8,523","8,266","11,759","11,138","9,841","6,736"
Structural Property,"4,687","4,655","4,669","4,612","4,119","3,992","3,786","3,774","3,758","3,438","3,416","2,865","2,546","2,327","2,654","2,528","2,459","2,450","2,805","3,175","2,825","2,877","3,660","3,324","2,920","1,889"
Mobile Property,"4,346","4,133","4,616","5,357","5,473","5,419","4,846","4,349","4,442","4,011","3,888","3,304","2,501","2,060","1,978","1,822","1,825","1,853","1,943","1,979","2,047","1,773","2,332","1,978","1,720","1,472"
Other Property,"5,281","5,666","5,121","5,091","4,415","4,266","4,028","4,149","4,487","3,951","3,370","3,064","2,817","2,777","2,887","3,096","2,851","3,077","3,018","3,496","3,651","3,616","5,767","5,836","5,201","3,375"
